country,gdpPercap,lifeExp,continent
Afghanistan,974.5803384,43.828,Asia
Albania,5937.029526,76.423,Europe
Algeria,6223.367465,72.301,Africa
Angola,4797.231267,42.731,Africa
Argentina,12779.37964,75.32,Americas
Australia,34435.36744,81.235,Oceania
Austria,36126.4927,79.829,Europe
Bahrain,29796.04834,75.635,Asia
Bangladesh,1391.253792,64.062,Asia
Belgium,33692.60508,79.441,Europe
Benin,1441.284873,56.728,Africa
Bolivia,3822.137084,65.554,Americas
Bosnia and Herzegovina,7446.298803,74.852,Europe
Botswana,12569.85177,50.728,Africa
Brazil,9065.800825,72.39,Americas
Bulgaria,10680.79282,73.005,Europe
Burkina Faso,1217.032994,52.295,Africa
Burundi,430.0706916,49.58,Africa
Cambodia,1713.778686,59.723,Asia
